PROVINCIA,COMARCA,LOCALIDAD,CÓD. CENTRO,NOMBRE CENTRO,NIVEL,CURSO,% VOTOS VALENCIANO,% VOTOS CASTELLANO
PROVÍNCIA,COMARCA,LOCALITAT,CODI CENTRE,NOM DEL CENTRE,NIVELL,CURS,% VOTS VALENCIÀ,% VOTS CASTELLÀ
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001381,CENTRE PÚBLIC INTEGRAT EXCELENTÍSIMA DIPUTACIÓN,ESO,1ESO,"85,71","14,29"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001381,CENTRE PÚBLIC INTEGRAT EXCELENTÍSIMA DIPUTACIÓN,ESO,2ESO,"89,29","10,71"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001381,CENTRE PÚBLIC INTEGRAT EXCELENTÍSIMA DIPUTACIÓN,ESO,3ESO,92,8
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001502,CEIP MAESTRO CARLOS SELMA,ESO,1ESO,0,100
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001502,CEIP MAESTRO CARLOS SELMA,ESO,2ESO,0,100
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12001502,CEIP MAESTRO CARLOS SELMA,ESO,3ESO,0,100
Castelló,Els Ports,MORELLA,12001903,IES ELS PORTS,ESO,1ESO,"88,57","11,43"
Castelló,Els Ports,MORELLA,12001903,IES ELS PORTS,ESO,2ESO,80,20
Castelló,Els Ports,MORELLA,12001903,IES ELS PORTS,ESO,3ESO,"81,48","18,52"
Castelló,La Plana Baixa,NULES,12001952,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,1ESO,"46,15","53,85"
Castelló,La Plana Baixa,NULES,12001952,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,2ESO,"15,38","84,62"
Castelló,La Plana Baixa,NULES,12001952,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,ESO,3ESO,"8,33","91,67"
Castelló,La Plana Baixa,ONDA,12002051,CENTRE PRIVAT COLEGIO MADRE MARÍA ROSA MOLAS,ESO,1ESO,"23,81","76,19"
Castelló,La Plana Baixa,ONDA,12002051,CENTRE PRIVAT COLEGIO MADRE MARÍA ROSA MOLAS,ESO,2ESO,20,80
Castelló,La Plana Baixa,ONDA,12002051,CENTRE PRIVAT COLEGIO MADRE MARÍA ROSA MOLAS,ESO,3ESO,"9,09","90,91"
Castelló,La Plana Baixa,ONDA,12002063,CENTRE PRIVAT VIRGEN DEL CARMEN,ESO,1ESO,"58,06","41,94"
