PROVINCIA,COMARCA,LOCALIDAD,CÓD. CENTRO,NOMBRE CENTRO,NIVEL,CURSO,% VOTOS VALENCIANO,% VOTOS CASTELLANO
PROVÍNCIA,COMARCA,LOCALITAT,CODI CENTRE,NOM DEL CENTRE,NIVELL,CURS,% VOTS VALENCIÀ,% VOTS CASTELLÀ
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000777,CEIP SAN AGUSTÍN,INF,3INF,50,50
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000777,CEIP SAN AGUSTÍN,INF,4INF,100,0
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000777,CEIP SAN AGUSTÍN,INF,5INF,0,100
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000790,CEIP ISIDORO ANDRÉS VILLARROYA,INF,3INF,"81,63","18,37"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000790,CEIP ISIDORO ANDRÉS VILLARROYA,INF,4INF,"65,96","34,04"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000790,CEIP ISIDORO ANDRÉS VILLARROYA,INF,5INF,"61,11","38,89"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000807,CEIP EJÉRCITO,INF,2INF,"33,33","66,67"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000807,CEIP EJÉRCITO,INF,3INF,"45,45","54,55"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000807,CEIP EJÉRCITO,INF,4INF,"30,77","69,23"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000807,CEIP EJÉRCITO,INF,5INF,"55,56","44,44"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000819,CEIP CERVANTES,INF,3INF,25,75
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000819,CEIP CERVANTES,INF,4INF,50,50
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000819,CEIP CERVANTES,INF,5INF,"16,67","83,33"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000820,CEIP MAESTRO CANÓS SANMARTÍN,INF,2INF,"57,14","42,86"
